id,u_id,name,position,active,age,handedness,catches,contract_end,cap_hit,signed_nhl,date_birth,drafted,height,weight,nhl_rights_id,nationality_id,place_birth_id,id,player_id,regular_season,season_id,league_id,team_id,captaincy,gp,gd,gaa,svp,ga,svs,so,w,l,t,toi,id,nationality,id,season
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,131,51,0,36,7,57,,2,,2.5,,5,,1,0,1,0,120,3,Canada,36,1921-1922
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,132,51,1,36,7,57,,24,,3.34,,84,,2,14,8,2,1508,3,Canada,36,1921-1922
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,133,51,0,37,7,57,,2,,1,,2,,1,1,1,0,120,3,Canada,37,1922-1923
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,134,51,1,37,7,57,,24,,2.18,,54,,4,14,9,1,1489,3,Canada,37,1922-1923
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,135,51,0,38,7,57,,2,,2.5,,5,,0,0,2,0,120,3,Canada,38,1923-1924
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,136,51,1,38,7,57,,22,,1.99,,45,,3,15,7,0,1356,3,Canada,38,1923-1924
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,137,51,0,39,7,145,,,,,,,,,,,,,3,Canada,39,1924-1925
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,138,51,1,39,7,145,,30,,2.12,,65,,2,9,19,2,1843,3,Canada,39,1924-1925
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,139,51,0,40,7,145,,4,,1.25,,5,,1,2,0,0,240,3,Canada,40,1925-1926
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,140,51,1,40,7,145,,36,,1.92,,73,,6,20,11,5,2286,3,Canada,40,1925-1926
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,141,51,0,41,7,145,,2,,0.91,,2,,0,0,1,0,132,3,Canada,41,1926-1927
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,142,51,1,41,7,145,,43,,1.42,,65,,13,20,19,4,2747,3,Canada,41,1926-1927
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,143,51,0,42,7,145,,9,,0.86,,8,,4,5,3,0,555,3,Canada,42,1927-1928
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,144,51,1,42,7,145,,44,,1.7,,76,,6,24,14,6,2690,3,Canada,42,1927-1928
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,145,51,0,43,7,145,,,,,,,,,,,,,3,Canada,43,1928-1929
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,146,51,1,43,7,145,,37,,1.49,,57,,11,14,16,7,2300,3,Canada,43,1928-1929
51,24038,Clint Benedict,G,0,,,L,,,0,1892-09-26,0,183,75,,3,16,147,51,0,44,7,145,,,,,,,,,,,,,3,Canada,44,1929-1930
